"x"	"y"	"altitude"	"altitude_type"	"id"
"341"	265685.57	4040775.26	630.440002441406	"lower"	"Z0319"
"342"	265688.23	4040771.19	628.60498046875	"lower"	"Z0320"
"343"	265689.77	4040772.41	628.60498046875	"lower"	"Z0321"
"344"	265694.26	4040781.73	632.828002929688	"lower"	"Z0324"
"345"	265693.62	4040784.95	634.632995605469	"lower"	"Z0322"
"346"	265693.68	4040785.6	634.632995605469	"lower"	"Z0323"
"347"	265689.25	4040787.37	634.280029296875	"lower"	"Z0325"
"348"	265704.13	4040788.13	637.132995605469	"upper"	"Z0326"
"349"	265707.14	4040786.79	634.919982910156	"lower"	"Z0327"
"350"	265708.58	4040785	634.97998046875	"lower"	"Z0328"
"351"	265719.48	4040790.16	639.77001953125	"upper"	"Z0329"
"352"	265719.53	4040793.31	642.252990722656	"upper"	"Z0330"
"353"	265720.19	4040792.97	642.252990722656	"upper"	"Z0331"
"354"	265724.42	4040795.71	643.177001953125	"upper"	"Z0332"
"355"	265724.88	4040796.81	643.177001953125	"upper"	"Z0333"
"356"	265727.38	4040789.37	640.77001953125	"upper"	"Z0785"
"357"	265729.37	4040795.85	644.14697265625	"upper"	"Z0334"
"358"	265731.56	4040800.14	646.161987304688	"upper"	"Z0335"
"359"	265734.59	4040801.19	646.942993164062	"upper"	"Z0336"
"360"	265742.77	4040800.83	647.518005371094	"upper"	"Z0338"
"361"	265742.97	4040801.55	647.518005371094	"upper"	"Z0337"
"362"	265747.49	4040806	649.872009277344	"upper"	"Z0339"
"363"	265749.93	4040806.64	650.159973144531	"upper"	"Z0340"
"364"	265759.71	4040801.57	648.671997070312	"upper"	"Z0343"
"365"	265762.85	4040807.54	654.427001953125	"upper"	"Z0341"
"366"	265773.8	4040790.62	642.307006835938	"upper"	"Z0342"
"367"	265776.97	4040788.93	642.307006835938	"upper"	"Z0344"
"368"	265786.6	4040805.13	651.789978027344	"upper"	"Z0349"
"369"	265794.16	4040809.3	655.346984863281	"upper"	"Z0359"
"370"	265790.91	4040800.6	649.969970703125	"upper"	"Z0348"
"371"	265793.23	4040799.74	651.52001953125	"upper"	"Z0347"
"372"	265793.87	4040795.95	649.393005371094	"upper"	"Z0346"
"373"	265790.93	4040794.36	648	"upper"	"Z0345"
"374"	265793.91	4040792.29	645.476989746094	"upper"	"Z0350"
"375"	265796.16	4040792.73	649.393005371094	"upper"	"Z0353"
"376"	265797.35	4040799.8	651.52001953125	"upper"	"Z0352"
"377"	265798.94	4040798.77	652.184997558594	"upper"	"Z0351"
"378"	265799.68	4040798.02	652.184997558594	"upper"	"Z0354"
"379"	265799.54	4040796.25	648.559997558594	"upper"	"Z0355"
"380"	265807.85	4040794.15	644.469970703125	"upper"	"Z0360"
"381"	265818.22	4040794.5	641.934997558594	"upper"	"Z0361"
"382"	265818.44	4040791.89	638.471984863281	"upper"	"Z0362"
"383"	265821.45	4040790.43	638.471984863281	"upper"	"Z0364"
"384"	265821.95	4040797.33	641.934997558594	"upper"	"Z0365"
"385"	265839.58	4040762.43	622.77197265625	"lower"	"Z0366"
"386"	265840.41	4040758.73	622.77197265625	"lower"	"Z0367"
"387"	265847.75	4040759.73	623.643005371094	"lower"	"Z0368"
"388"	265893.39	4040731.99	642.421997070312	"upper"	"Z0369"
"389"	265955.32	4040711.13	667.965026855469	"upper"	"Z0370"
"390"	265959.31	4040714.8	670.893005371094	"upper"	"Z0371"
"391"	265965.1	4040731.41	673.919982910156	"upper"	"Z0372"
"392"	265960.61	4040731.22	671.909973144531	"upper"	"Z0373"
"393"	265960.72	4040736.19	671.570007324219	"upper"	"Z0374"
"394"	265966.77	4040736.97	673.497009277344	"upper"	"Z0375"
"395"	265960.5	4040740.84	671.2919921875	"upper"	"Z0376"
"396"	265969.52	4040744.93	674.375	"upper"	"Z0377"
"397"	265974.97	4040709.9	669.627990722656	"upper"	"Z0378"
"398"	265977.59	4040707.38	666.684997558594	"upper"	"Z0379"
"399"	265972.88	4040704.39	666.507995605469	"upper"	"Z0380"
"400"	265976.36	4040708.16	669.627990722656	"upper"	"Z0381"
"401"	265963.94	4040693.59	661.330017089844	"upper"	"Z0382"
"402"	266038.53	4040640.48	676.02001953125	"upper"	"Z0383"
"403"	266093.08	4040598.55	696.419982910156	"upper"	"Z0384"
"404"	266107.22	4040584.36	697.260009765625	"upper"	"Z0385"
"405"	266152.95	4040592.19	710.442993164062	"upper"	"Z0386"
"406"	266154.28	4040588.12	710.442993164062	"upper"	"Z0387"
"407"	266163.81	4040568.95	709.703002929688	"upper"	"Z0388"
"408"	266180.96	4040577.79	716.002990722656	"upper"	"Z0389"
"409"	266220.89	4040566.57	729.677001953125	"upper"	"Z0390"
"410"	266217.49	4040559.03	727.364990234375	"upper"	"Z0391"
"411"	266230.83	4040550.53	721.968017578125	"upper"	"Z0392"
"412"	266237.38	4040547.59	720.843017578125	"upper"	"Z0393"
